Crop,Commodity,Variety,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
Kharif Crops,Paddy,Common,1250,1310,1360,1410,1470,1550,1750
Kharif Crops,Paddy,Grade 'A',1280,1345,1400,1450,1510,1590,1770
Kharif Crops,Jowar,Hybrid,1500,1500,1530,1570,1625,1700,2430
Kharif Crops,Jowar,Maldandi,1520,1520,1550,1590,1650,1725,2450
Kharif Crops,Bajra,NA,1175,1250,1250,1275,1330,1425,1950
Kharif Crops,Maize,NA,1175,1310,1310,1325,1365,1425,1700
Kharif Crops,Ragi,NA,1500,1500,1550,1650,1725,1900,2897
Kharif Crops,Arhar(tur),NA,3850,4300,4350,4625^,5050^^,5450^,5675
Kharif Crops,Moong,NA,4400,4500,4600,4850^,5225^^,5575^,6975
Kharif Crops,Urad,NA,4300,4300,4350,4625^,5000^^,5400^,5600
Kharif Crops,Cotton,Medium Staple,3600,3700,3750,3800,3860,4020,5150
Kharif Crops,Cotton,Long Staple,3900,4000,4050,4100,4160,4320,5450
Kharif Crops,Groundnut In Shell,NA,3700,4000,4000,4030,4220*,4450^,4890
Kharif Crops,Sunflower Seed,NA,3700,3700,3750,3800,3950*,4100*,5388
Kharif Crops,Soyabeen,Black,2200,2500,2500,NA,NA,NA,NA
Kharif Crops,Soyabeen,Yellow ##,2240,2560,2560,2600,2775*,3050^,3399
Kharif Crops,Sesamum,NA,4200,4500,4600,4700,5000^,5300*,6249
Kharif Crops,Nigerseed,NA,3500,3500,3600,3650,3825*,4050*,5877
Rabi Crops,Wheat,NA,1350,1400,1450,1525,1625,1735,NA
Rabi Crops,Barley,NA,980,1100,1150,1225,1325,1410,NA
Rabi Crops,Gram,NA,3000,3100,3175,3500**,4000^,4400@,NA
Rabi Crops,Masur (lentil),NA,2900,2950,3075,3400**,3950@,4250*,NA
Rabi Crops,Rapeseed/mustard,NA,3000,3050,3100,3350,3700*,4000*,NA
Rabi Crops,Safflower,NA,2800,3000,3050,3300,3700*,4100*,NA
Rabi Crops,Toria,NA,2970,3020,3020,3290,3560,3900*,NA
Other Crops,Copra,Milling,5100,5250,5250,5550,5950,6500,7511
Other Crops,Copra (calender Year),Ball,5350,5500,5500,5830,6240,6785,7750
Other Crops,De-husked Coconut (calender Year),NA,1400,1425,1425,1500,1600,1760,2030
Other Crops,Jute,NA,2200,2300,2400,2700,3200,3500,3700
Other Crops,Sugarcane#,NA,170,210,220,230,230,255,275
